,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,INDUSINDBANK,AUBANK,FEDERALBNK,IDFCFIRSTB,BANKBARODA,PNB,CANBK,UNIONBANK,YESBANK
01-May-22,-0.035075932,-0.041381906,-0.032666877,-0.048661634,-0.026672597,-0.040450302,-0.025396016,-0.040165439,-0.028579635,-0.033416028,-0.025126183,-0.029342066,-0.022695023,-0.010163661
08-May-22,-0.06017657,-0.045042896,-0.045607157,-0.094863503,-0.059938706,-0.058881163,-0.038476467,-0.053172005,-0.041325499,-0.038826656,-0.043118482,-0.043809089,-0.01635767,-0.023581545
15-May-22,-0.039024822,-0.048890784,-0.050272452,-0.088417055,-0.029228184,-0.061136197,-0.040733995,-0.047214961,-0.025053482,-0.036417995,-0.03766567,-0.045078663,-0.027812889,-0.012974115
22-May-22,-0.04169958,-0.052889155,-0.042633875,-0.052405817,-0.03444158,-0.043556902,-0.026381761,-0.045569703,-0.036414934,-0.039589934,-0.024445467,-0.026913133,-0.02487765,-0.015956769
29-May-22,-0.034853982,-0.043434658,-0.035281211,-0.046752075,-0.027622105,-0.042000389,-0.023441426,-0.039959303,-0.029726344,-0.032969973,-0.022735328,-0.0268438,-0.023534399,-0.011516117
05-Jun-22,-0.042388657,-0.044681553,-0.036200553,-0.049880651,-0.036297424,-0.039822175,-0.024583519,-0.042307228,-0.035037128,-0.035960503,-0.025637889,-0.027404185,-0.021492567,-0.015925783
12-Jun-22,-0.034426672,-0.0333419,-0.028024727,-0.04617934,-0.029951933,-0.041537208,-0.021000578,-0.036535108,-0.02741422,-0.027141014,-0.023578375,-0.027644629,-0.019272027,-0.010435234
19-Jun-22,-0.035190029,-0.034123574,-0.034393371,-0.067522884,-0.032166694,-0.055186244,-0.027562571,-0.039996422,-0.02480756,-0.025926515,-0.02935896,-0.035684137,-0.020060018,-0.010092511
26-Jun-22,-0.035281742,-0.05024449,-0.041402942,-0.049630679,-0.023432075,-0.040084354,-0.02799159,-0.041514878,-0.029404162,-0.03821461,-0.024853831,-0.029100478,-0.027909488,-0.012760519
03-Jul-22,-0.036177953,-0.044547043,-0.037994444,-0.052314504,-0.028165514,-0.043576499,-0.026067266,-0.040747511,-0.029400927,-0.033979638,-0.025154419,-0.029393888,-0.024417527,-0.012619404
